"ID","MonthlyIncome"
871,5517.87336414336
872,2722.70955705533
873,12839.9939362455
874,2679.33123311424
875,2951.95821622057
876,5201.92178094278
877,5429.83859680351
878,2158.1180081775
879,3005.4899101412
880,13384.2138257629
881,9661.74061784368
882,2728.93949114743
883,5530.08544174072
884,5303.79242153172
885,5819.13210720914
886,5536.70861989015
887,5919.74724096616
888,5550.80682493253
889,4776.70713755816
890,2770.37298721712
891,4873.97858644637
892,9128.01898702188
893,8986.13965421585
894,5351.11076007345
895,10128.3998460938
896,9324.77289724246
897,8834.39208447946
898,16126.4953914426
899,5533.06774319148
900,2731.53469054632
901,2749.91130961894
902,5311.11734006502
903,5842.2736341421
904,2817.07035832321
905,16572.0476291059
906,5172.09853784844
907,9387.86201108588
908,5949.75644698711
909,2786.81108233336
910,2775.20905289707
911,19290.2661484616
912,2786.79819979062
913,2669.79037669031
914,12770.7983823471
915,5677.44452233676
916,4547.3819532902
917,2817.82929288527
918,5477.49533477485
919,2699.74084364955
920,3027.4716617198
921,2649.43179098838
922,2700.74308106268
923,4738.77267407305
924,4496.80904911988
925,16813.867870284
926,2914.24194113506
927,5680.23246959936
928,12780.4008701075
929,2470.74996312226
930,2690.3549462517
931,5846.65667423967
932,12576.8582518351
933,9019.71917856798
934,2443.61000545182
935,2448.61502599541
936,2391.00757643551
937,9465.52444982614
938,9428.41475395509
939,5132.41570696299
940,2581.22703259023
941,3121.11843294746
942,9246.06206138518
943,9779.31034925644
944,5637.10142727148
945,2459.63189628734
946,5553.39231510121
947,2514.77053415929
948,2848.08465949334
949,2467.61402919367
950,5270.88950022476
951,2813.05055570759
952,5532.39244327356
953,5539.59131625297
954,2554.19086821042
955,4482.42071401197
956,7867.89566141421
957,10460.855281734
958,2694.33394539733
959,9578.1899877419
960,19731.1562072996
961,2933.47996710062
962,5052.07267625298
963,5706.85117865347
964,4647.02569667949
965,2918.12047021928
966,19337.4718380328
967,2724.31400831485
968,8909.47045630675
969,16616.7832038619
970,2907.49069247235
971,5643.21353227814
972,5730.52231926299
973,2524.06307887781
974,2680.53280340775
975,5710.79223311159
976,2908.26585846664
977,6129.47715382661
978,2863.57173365015
979,9372.55225668429
980,19213.5085213786
981,2829.34721732685
982,9200.20957790431
983,2792.75945380267
984,2736.40299637251
985,5595.41083186268
986,2556.22862917093
987,2640.92979917355
988,5562.30334733382
989,9373.73713698324
990,2757.33218484683
991,4970.78169168176
992,2875.14605188734
993,5023.85616052136
994,5385.16102112161
995,5089.68000148053
996,5055.15791087833
997,2750.03378794809
998,16668.4031338509
999,9152.20231426695
1000,2504.77082007857
1001,5112.56200069499
1002,4517.07741599065
1003,5017.11921109137
1004,6245.88650161561
1005,3066.40919539472
1006,5546.24651268819
1007,2613.20210568285
1008,5871.95686260115
1009,19234.469320927
1010,5091.43994197698
1011,9241.26632333472
1012,4982.72579062267
1013,5668.87503663451
1014,4486.68215956354
1015,5221.72518105028
1016,2919.52603160963
1017,2707.4969359799
1018,9023.61570305538
1019,9132.01844468386
1020,2406.65945676742
1021,5631.2960546204
1022,5287.60117627196
1023,4867.33027095825
1024,9708.62045863007
1025,16182.5563888171
1026,18702.0475079268
1027,4646.69355618212
1028,5425.68085464696
1029,5341.2173046358
1030,8854.08356634355
1031,5421.68270011224
1032,2861.60010794143
1033,12491.0330830649
1034,2571.20091043767
1035,4611.92415451468
1036,2897.83497058887
1037,5462.92769616371
1038,8317.04559654123
1039,12716.5730886887
1040,5779.00031959637
1041,2452.20723474727
1042,3055.64747014685
1043,8874.6173180652
1044,6067.13964297525
1045,2789.09513265805
1046,2417.70827484947
1047,5844.4350306022
1048,12276.4331213957
1049,2765.22947012348
1050,5599.43493362555
1051,10036.9207583682
1052,2480.61662072259
1053,5848.79199469455
1054,2884.18676752341
1055,2683.90943001452
1056,2772.14441992942
1057,5473.95697918158
1058,16369.884164152
1059,5297.19045389196
1060,3113.63692281232
1061,5003.25412275356
1062,5580.65494263048
1063,5974.10822015203
1064,2613.56019340836
1065,5676.11693888347
1066,2724.3540415644
1067,3476.92602614508
1068,19324.4377560668
1069,5212.33869973914
1070,2627.1986806779
1071,2764.82470439828
1072,5857.03171755964
1073,2626.50975558228
1074,5784.17045797318
1075,5591.28379692523
1076,16688.7154595325
1077,19247.9925529715
1078,4697.85981851895
1079,4909.16256205803
1080,4909.30564204488
1081,3162.23017837073
1082,2643.74698279109
1083,2351.15274311885
1084,5879.07307993646
1085,8901.69111367826
1086,9163.01650837753
1087,5615.36419099571
1088,2842.48465995362
1089,2939.43935749312
1090,5307.52513131316
1091,5332.62398472212
1092,5600.4880095649
1093,12387.8120731429
1094,5324.14331377895
1095,5506.95802528383
1096,5653.83616808955
1097,3319.11482971437
1098,2429.33510316074
1099,2811.09734275301
1100,5839.50902785314
1101,18985.4323068992
1102,5512.66698833606
1103,5757.49372254771
1104,9875.46738211159
1105,2902.30907432865
1106,2613.98887451361
1107,3151.11427477912
1108,4791.42500690893
1109,5351.68442994405
1110,5541.78864038063
1111,5626.71109033575
1112,12834.9900579055
1113,12917.1615346888
1114,5750.64056763493
1115,9901.02357563319
1116,2760.91076842099
1117,6366.46187545276
1118,4634.25759174522
1119,9758.09853313327
1120,2632.91784482443
1121,9356.66045870325
1122,16536.7804086156
1123,4818.43269966431
1124,16326.0210174935
1125,2802.35714703342
1126,2217.96966340108
1127,2551.89879498253
1128,4766.26392762996
1129,16334.3706542975
1130,2586.02677069796
1131,12500.9252353753
1132,16188.2367092786
1133,5731.89756319972
1134,2212.67065412841
1135,2882.61133059025
1136,2658.45758782636
1137,3130.50361113134
1138,5417.58348993661
1139,9172.71962747466
1140,16280.4735917548
1141,6049.59253776218
1142,5700.17350668195
1143,10019.2958573193
1144,5495.48745805011
1145,4723.1736935807
1146,5424.42216906251
1147,4614.19653944666
1148,2519.31381458883
1149,2770.38337706807
1150,5819.35443358483
1151,2629.12757674083
1152,5412.7824582085
1153,5039.15224196815
1154,2634.48853959912
1155,5971.98114462892
1156,12780.8353345868
1157,2547.07774774928
1158,4962.21368992399
1159,2748.5083544831
1160,5686.96959984655
1161,3032.49753054522
1162,8998.36674128678
1163,2708.80809042706
1164,9221.15756216439
1165,2704.98418166061
1166,2127.17501960107
1167,9542.65075925356
1168,5508.53995339861
1169,2839.03292493409
1170,2925.68822125307
